X_Real,Y_Real,1_Timestamp,1_RSSI,1_Azimuth,1_Elevation,1_Channel,1_Sequence,1_Azimuth_Var,1_RSSI_Var,1_Azimuth_Real,2_Timestamp,2_RSSI,2_Azimuth,2_Elevation,2_Channel,2_Sequence,2_Azimuth_Var,2_RSSI_Var,2_Azimuth_Real,3_Timestamp,3_RSSI,3_Azimuth,3_Elevation,3_Channel,3_Sequence,3_Azimuth_Var,3_RSSI_Var,3_Azimuth_Real,4_Timestamp,4_RSSI,4_Azimuth,4_Elevation,4_Channel,4_Sequence,4_Azimuth_Var,4_RSSI_Var,4_Azimuth_Real
90.0,540.0,200,-56.75,65.75,13.25,20.25,18188.5,58.916666666666664,20.249999999999996,68.19859051364818,200,-66.5,14.5,2.25,20.25,18188.5,315.00000000000006,37.666666666666664,22.61986494804044,200,-58.5,-38.25,-27.25,20.25,18188.5,4.25,7.000000000000003,-22.619864948040416,200,-59.5,-69.5,14.0,20.25,18188.5,72.99999999999999,6.999999999999996,-68.19859051364818
90.0,526.6981968666863,201,-55.25,61.75,7.5,29.75,18192.5,56.91666666666665,4.916666666666667,65.33923970745833,201,-60.0,15.25,13.25,29.75,18192.5,528.2500000000001,17.99999999999999,21.406852989676366,201,-58.75,1.5,-8.25,29.75,18192.5,2415.0,6.916666666666662,-23.13167030647713,201,-61.75,-59.5,38.75,29.75,18192.5,174.33333333333334,0.2500000000000006,-66.96802848283883
90.0,513.3963937333727,202,-57.0,59.25,7.25,17.5,18196.5,37.58333333333334,2.6666666666666665,62.60508160844331,202,-70.75,16.5,20.25,17.5,18196.5,1581.6666666666667,86.91666666666667,20.17336888290748,202,-61.0,-17.0,5.25,17.5,18196.5,151.99999999999997,6.0,-23.665813288938775,202,-62.25,-63.25,24.25,17.5,18196.5,184.24999999999997,6.250000000000003,-65.59918460933177
90.0,500.0945906000591,203,-58.5,48.75,8.75,19.5,18200.5,8.25,4.333333333333333,59.99969464646784,203,-64.25,-14.5,11.0,19.5,18200.5,2605.6666666666665,50.916666666666664,18.92006173518751,203,-59.25,-31.75,-9.75,19.5,18200.5,74.91666666666667,4.916666666666667,-24.223689674969606,203,-61.25,-54.75,1.5,19.5,18200.5,80.91666666666667,44.91666666666666,-64.06922408967111
90.0,486.7927874667455,204,-61.25,62.75,2.5,7.5,18204.5,77.58333333333336,14.25,57.52420523363372,204,-67.0,18.75,23.75,7.5,18204.5,792.9166666666666,67.33333333333336,17.647677467369554,204,-61.0,-30.25,-16.0,7.5,18204.5,20.916666666666675,6.0,-24.80680402793203,204,-62.5,-41.0,11.75,7.5,18204.5,60.666666666666664,7.0,-62.35054353486337
90.0,473.49098433343187,205,-59.5,56.25,8.75,11.5,18208.5,64.91666666666667,6.3333333333333295,55.17769429179642,205,-64.5,-11.25,17.0,11.5,18208.5,1548.9166666666667,49.666666666666664,16.357060040153844,205,-62.25,-6.5,-23.25,11.5,18208.5,2847.0,4.916666666666667,-25.416779195635723,205,-64.75,-47.5,6.5,11.5,18208.5,4.3333333333333295,20.250000000000004,-60.409678813848736
90.0,460.18918120011824,206,-62.25,56.0,4.75,16.75,18212.5,18.666666666666668,20.24999999999999,52.95760666299758,206,-62.75,3.25,19.0,16.75,18212.5,230.91666666666663,18.25,15.04915167428452,206,-63.0,-36.25,12.0,16.75,18212.5,344.9166666666667,12.666666666666666,-26.055366605292818,206,-63.5,-46.75,10.5,16.75,18212.5,62.916666666666664,41.666666666666664,-58.20601668646295
90.0,446.8873780668046,207,-59.5,46.25,-3.25,21.75,18216.5,34.24999999999999,4.3333333333333295,50.86013607825164,207,-67.5,9.75,18.0,21.75,18216.5,792.9166666666666,33.66666666666666,13.724991968591901,207,-67.5,-25.25,-8.25,21.75,18216.5,136.91666666666666,12.333333333333336,-26.72445738361854,207,-58.5,-46.75,11.75,21.75,18216.5,30.916666666666668,4.333333333333336,-55.69035672651668
90.0,433.585574933491,208,-59.5,42.5,7.75,15.25,18220.5,27.666666666666675,1.6666666666666679,48.88056884640628,208,-66.75,18.5,11.75,15.25,18220.5,441.6666666666667,5.583333333333337,12.385715836638417,208,-62.5,-49.75,13.75,15.25,18220.5,288.9166666666667,3.666666666666668,-27.426094319227847,208,-57.25,-44.75,3.75,15.25,18220.5,6.249999999999997,18.916666666666668,-52.80347960716917
90.0,420.28377180017736,209,-62.25,36.5,5.75,27.75,18224.5,1649.666666666667,28.916666666666668,47.0135780941533,209,-64.75,30.0,-2.0,27.75,18224.5,998.6666666666666,20.25,11.032550203895775,209,-68.25,-25.5,4.75,27.75,18224.5,85.66666666666667,28.916666666666647,-28.16248466407855,209,-55.0,-45.5,4.25,27.75,18224.5,41.666666666666664,18.666666666666668,-49.47509888664395
90.0,406.98196866686374,210,-62.5,64.75,26.75,21.0,18228.5,84.91666666666667,14.999999999999988,45.25346680491778,210,-70.25,9.25,5.75,21.0,18228.5,660.9166666666666,28.916666666666686,9.666809432721015,210,-63.25,-29.0,-2.75,21.0,18228.5,48.666666666666664,34.916666666666664,-28.936013741316604,210,-49.5,-40.5,7.0,21.0,18228.5,15.0,5.666666666666667,-45.623984623350005
90.0,393.68016553355005,211,-63.25,46.25,5.0,10.5,18232.5,60.916666666666664,48.25000000000002,43.59436216190721,211,-69.25,11.5,10.5,10.5,18232.5,179.66666666666666,1.5833333333333368,8.289889471325012,211,-64.0,-32.5,-3.25,10.5,18232.5,57.666666666666664,6.666666666666667,-29.749259285558676,211,-52.5,-35.25,2.75,10.5,18232.5,6.25,4.333333333333336,-41.16073572766716
