StartTimeISO,StartTimestamp,EndTimeISO,EndTimestamp,X,Y,Z
2025-04-14T20:41:32.067,1744663292067,2025-04-14T20:41:48.324,1744663308324,0,360,138
2025-04-14T20:41:58.625,1744663318625,2025-04-14T20:42:13.193,1744663333193,90,360,138
2025-04-14T20:42:27.733,1744663347733,2025-04-14T20:42:43.158,1744663363158,180,360,138
2025-04-14T20:42:55.158,1744663375158,2025-04-14T20:43:09.733,1744663389733,270,360,138
2025-04-14T20:43:24.291,1744663404291,2025-04-14T20:43:40.557,1744663420557,360,360,138
2025-04-14T20:43:54.258,1744663434258,2025-04-14T20:44:09.699,1744663449699,450,360,138
2025-04-14T20:44:23.399,1744663463399,2025-04-14T20:44:37.957,1744663477957,540,360,138
2025-04-14T20:44:53.366,1744663493366,2025-04-14T20:45:10.489,1744663510489,540,270,138
2025-04-14T20:45:23.366,1744663523366,2025-04-14T20:45:38.765,1744663538765,450,270,138
2025-04-14T20:45:51.623,1744663551623,2025-04-14T20:46:08.764,1744663568764,360,270,138
2025-04-14T20:46:21.589,1744663581589,2025-04-14T20:46:38.732,1744663598732,270,270,138
2025-04-14T20:46:49.855,1744663609855,2025-04-14T20:47:06.155,1744663626155,180,270,138
2025-04-14T20:47:18.122,1744663638122,2025-04-14T20:47:34.421,1744663654421,90,270,138
2025-04-14T20:47:44.697,1744663664697,2025-04-14T20:48:00.955,1744663680955,0,270,138
2025-04-14T20:48:12.097,1744663692097,2025-04-14T20:48:28.396,1744663708396,0,180,138
2025-04-14T20:48:37.787,1744663717787,2025-04-14T20:48:54.096,1744663734096,90,180,138
2025-04-14T20:49:03.488,1744663743488,2025-04-14T20:49:19.788,1744663759788,180,180,138
2025-04-14T20:49:30.921,1744663770921,2025-04-14T20:49:47.187,1744663787187,270,180,138
2025-04-14T20:50:00.886,1744663800886,2025-04-14T20:50:16.319,1744663816319,360,180,138
2025-04-14T20:50:29.154,1744663829154,2025-04-14T20:50:43.728,1744663843728,450,180,138
2025-04-14T20:50:58.287,1744663858287,2025-04-14T20:51:13.727,1744663873727,540,180,138
2025-04-14T20:51:32.552,1744663892552,2025-04-14T20:51:49.695,1744663909695,540,90,138
2025-04-14T20:52:04.252,1744663924252,2025-04-14T20:52:19.651,1744663939651,450,90,138
2025-04-14T20:52:32.519,1744663952519,2025-04-14T20:52:48.785,1744663968785,360,90,138
2025-04-14T20:53:01.651,1744663981651,2025-04-14T20:53:17.060,1744663997060,270,90,138
2025-04-14T20:53:30.760,1744664010760,2025-04-14T20:53:47.884,1744664027884,180,90,138
2025-04-14T20:53:59.026,1744664039026,2025-04-14T20:54:15.315,1744664055315,90,90,138
2025-04-14T20:54:28.150,1744664068150,2025-04-14T20:54:43.583,1744664083583,0,90,138
2025-04-14T20:54:58.150,1744664098150,2025-04-14T20:55:14.423,1744664114423,0,0,138
2025-04-14T20:55:27.251,1744664127251,2025-04-14T20:55:43.550,1744664143550,90,0,138
2025-04-14T20:55:56.392,1744664156392,2025-04-14T20:56:11.815,1744664171815,180,0,138
2025-04-14T20:56:29.782,1744664189782,2025-04-14T20:56:45.216,1744664205216,270,0,138
2025-04-14T20:57:00.649,1744664220649,2025-04-14T20:57:16.056,1744664236056,360,0,138
2025-04-14T20:57:30.616,1744664250616,2025-04-14T20:57:46.880,1744664266880,450,0,138
2025-04-14T20:58:02.314,1744664282314,2025-04-14T20:58:18.581,1744664298581,540,0,138
