Timestamp,Data
2025-04-21T21:59:31.778960,"+UUDF:6C1DEBA3FFAC,-64,-31,0,0,32,""6C1DEBA09949"","""",4385098,6757"
2025-04-21T21:59:31.833870,"+UUDF:6C1DEBA3FFAC,-61,-22,0,0,6,""6C1DEBA09949"","""",4385148,6758"
2025-04-21T21:59:31.880204,"+UUDF:6C1DEBA3FFAC,-70,16,-8,0,17,""6C1DEBA09949"","""",4385198,6759"
2025-04-21T21:59:31.928962,"+UUDF:6C1DEBA3FFAC,-61,-1,-44,0,5,""6C1DEBA09949"","""",4385248,6760"
2025-04-21T21:59:32.033040,"+UUDF:6C1DEBA3FFAC,-62,-41,21,0,34,""6C1DEBA09949"","""",4385348,6762"
2025-04-21T21:59:32.080388,"+UUDF:6C1DEBA3FFAC,-61,-1,-43,0,5,""6C1DEBA09949"","""",4385398,6763"
2025-04-21T21:59:32.129110,"+UUDF:6C1DEBA3FFAC,-64,0,-23,0,2,""6C1DEBA09949"","""",4385448,6764"
2025-04-21T21:59:32.184422,"+UUDF:6C1DEBA3FFAC,-64,50,-2,0,12,""6C1DEBA09949"","""",4385498,6765"
2025-04-21T21:59:32.230432,"+UUDF:6C1DEBA3FFAC,-64,-31,23,0,33,""6C1DEBA09949"","""",4385548,6766"
2025-04-21T21:59:32.279211,"+UUDF:6C1DEBA3FFAC,-56,-33,-23,0,30,""6C1DEBA09949"","""",4385598,6767"
2025-04-21T21:59:32.333037,"+UUDF:6C1DEBA3FFAC,-57,-33,-22,0,30,""6C1DEBA09949"","""",4385648,6768"
2025-04-21T21:59:32.429156,"+UUDF:6C1DEBA3FFAC,-70,-48,-6,0,25,""6C1DEBA09949"","""",4385748,6770"
2025-04-21T21:59:32.482986,"+UUDF:6C1DEBA3FFAC,-58,-33,-23,0,31,""6C1DEBA09949"","""",4385798,6771"
2025-04-21T21:59:32.529067,"+UUDF:6C1DEBA3FFAC,-65,31,-8,0,11,""6C1DEBA09949"","""",4385848,6772"
2025-04-21T21:59:32.579038,"+UUDF:6C1DEBA3FFAC,-71,6,-16,0,0,""6C1DEBA09949"","""",4385898,6773"
2025-04-21T21:59:32.634125,"+UUDF:6C1DEBA3FFAC,-71,75,10,0,20,""6C1DEBA09949"","""",4385948,6774"
2025-04-21T21:59:32.679874,"+UUDF:6C1DEBA3FFAC,-69,0,-22,0,1,""6C1DEBA09949"","""",4385998,6775"
2025-04-21T21:59:32.728607,"+UUDF:6C1DEBA3FFAC,-67,57,7,0,23,""6C1DEBA09949"","""",4386048,6776"
2025-04-21T21:59:32.778567,"+UUDF:6C1DEBA3FFAC,-70,-46,-5,0,25,""6C1DEBA09949"","""",4386098,6777"
2025-04-21T21:59:32.833331,"+UUDF:6C1DEBA3FFAC,-65,-47,-11,0,26,""6C1DEBA09949"","""",4386148,6778"
2025-04-21T21:59:32.879213,"+UUDF:6C1DEBA3FFAC,-64,1,-24,0,2,""6C1DEBA09949"","""",4386198,6779"
2025-04-21T21:59:32.928002,"+UUDF:6C1DEBA3FFAC,-61,0,-42,0,5,""6C1DEBA09949"","""",4386248,6780"
2025-04-21T21:59:32.984336,"+UUDF:6C1DEBA3FFAC,-76,70,11,0,21,""6C1DEBA09949"","""",4386298,6781"
2025-04-21T21:59:33.030529,"+UUDF:6C1DEBA3FFAC,-65,32,-9,0,11,""6C1DEBA09949"","""",4386348,6782"
2025-04-21T21:59:33.079156,"+UUDF:6C1DEBA3FFAC,-64,1,-23,0,2,""6C1DEBA09949"","""",4386398,6783"
2025-04-21T21:59:33.127403,"+UUDF:6C1DEBA3FFAC,-76,70,11,0,21,""6C1DEBA09949"","""",4386448,6784"
2025-04-21T21:59:33.185335,"+UUDF:6C1DEBA3FFAC,-59,-33,-17,0,28,""6C1DEBA09949"","""",4386498,6785"
2025-04-21T21:59:33.229921,"+UUDF:6C1DEBA3FFAC,-72,75,10,0,20,""6C1DEBA09949"","""",4386548,6786"
2025-04-21T21:59:33.278627,"+UUDF:6C1DEBA3FFAC,-69,75,-16,0,9,""6C1DEBA09949"","""",4386598,6787"
2025-04-21T21:59:33.333593,"+UUDF:6C1DEBA3FFAC,-69,-46,-6,0,25,""6C1DEBA09949"","""",4386648,6788"
2025-04-21T21:59:33.380095,"+UUDF:6C1DEBA3FFAC,-65,-46,-11,0,26,""6C1DEBA09949"","""",4386698,6789"
2025-04-21T21:59:33.428626,"+UUDF:6C1DEBA3FFAC,-65,0,-5,0,14,""6C1DEBA09949"","""",4386748,6790"
2025-04-21T21:59:33.483526,"+UUDF:6C1DEBA3FFAC,-62,-43,22,0,34,""6C1DEBA09949"","""",4386798,6791"
2025-04-21T21:59:33.578546,"+UUDF:6C1DEBA3FFAC,-61,1,-42,0,5,""6C1DEBA09949"","""",4386898,6793"
2025-04-21T21:59:33.633558,"+UUDF:6C1DEBA3FFAC,-62,-42,21,0,34,""6C1DEBA09949"","""",4386948,6794"
2025-04-21T21:59:33.679889,"+UUDF:6C1DEBA3FFAC,-72,75,12,0,20,""6C1DEBA09949"","""",4386998,6795"
2025-04-21T21:59:33.728543,"+UUDF:6C1DEBA3FFAC,-61,18,-2,0,6,""6C1DEBA09949"","""",4387048,6796"
2025-04-21T21:59:33.783422,"+UUDF:6C1DEBA3FFAC,-69,1,-21,0,1,""6C1DEBA09949"","""",4387098,6797"
2025-04-21T21:59:33.829800,"+UUDF:6C1DEBA3FFAC,-64,2,-22,0,2,""6C1DEBA09949"","""",4387148,6798"
2025-04-21T21:59:33.878640,"+UUDF:6C1DEBA3FFAC,-57,-30,-22,0,30,""6C1DEBA09949"","""",4387198,6799"
2025-04-21T21:59:33.933442,"+UUDF:6C1DEBA3FFAC,-61,68,21,0,36,""6C1DEBA09949"","""",4387248,6800"
2025-04-21T21:59:33.979819,"+UUDF:6C1DEBA3FFAC,-64,55,-3,0,12,""6C1DEBA09949"","""",4387298,6801"
2025-04-21T21:59:34.028633,"+UUDF:6C1DEBA3FFAC,-56,-35,-20,0,29,""6C1DEBA09949"","""",4387348,6802"
2025-04-21T21:59:34.083420,"+UUDF:6C1DEBA3FFAC,-71,14,-12,0,17,""6C1DEBA09949"","""",4387398,6803"
2025-04-21T21:59:34.129891,"+UUDF:6C1DEBA3FFAC,-69,73,-16,0,9,""6C1DEBA09949"","""",4387448,6804"
2025-04-21T21:59:34.186396,"+UUDF:6C1DEBA3FFAC,-75,72,12,0,21,""6C1DEBA09949"","""",4387498,6805"
2025-04-21T21:59:34.233414,"+UUDF:6C1DEBA3FFAC,-70,-48,-6,0,25,""6C1DEBA09949"","""",4387548,6806"
2025-04-21T21:59:34.279738,"+UUDF:6C1DEBA3FFAC,-69,64,8,0,22,""6C1DEBA09949"","""",4387598,6807"
2025-04-21T21:59:34.328519,"+UUDF:6C1DEBA3FFAC,-60,70,21,0,35,""6C1DEBA09949"","""",4387648,6808"
2025-04-21T21:59:34.383404,"+UUDF:6C1DEBA3FFAC,-68,10,-19,0,16,""6C1DEBA09949"","""",4387698,6809"
2025-04-21T21:59:34.429732,"+UUDF:6C1DEBA3FFAC,-71,75,8,0,20,""6C1DEBA09949"","""",4387748,6810"
2025-04-21T21:59:34.478464,"+UUDF:6C1DEBA3FFAC,-61,4,-25,0,3,""6C1DEBA09949"","""",4387798,6811"
2025-04-21T21:59:34.533354,"+UUDF:6C1DEBA3FFAC,-63,-30,4,0,32,""6C1DEBA09949"","""",4387848,6812"
2025-04-21T21:59:34.579724,"+UUDF:6C1DEBA3FFAC,-64,10,-1,0,13,""6C1DEBA09949"","""",4387898,6813"
2025-04-21T21:59:34.628509,"+UUDF:6C1DEBA3FFAC,-79,-51,1,0,24,""6C1DEBA09949"","""",4387948,6814"
