StartTimeISO,StartTimestamp,EndTimeISO,EndTimestamp,X,Y,Z,Obstacle
2025-03-17T21:50:56.153Z,1742248256153,2025-03-17T21:51:03.088Z,1742248263088,300,180,122,4
2025-03-17T21:51:12.653Z,1742248272653,2025-03-17T21:51:19.627Z,1742248279627,420,180,122,1
2025-03-17T21:51:25.293Z,1742248285293,2025-03-17T21:51:31.387Z,1742248291387,420,180,122,2
2025-03-17T21:51:33.985Z,1742248293985,2025-03-17T21:51:41.820Z,1742248301820,420,180,122,3
2025-03-17T21:51:44.419Z,1742248304419,2025-03-17T21:51:52.252Z,1742248312252,420,180,122,4
2025-03-17T21:52:00.087Z,1742248320087,2025-03-17T21:52:08.358Z,1742248328358,540,180,122,1
2025-03-17T21:52:11.387Z,1742248331387,2025-03-17T21:52:18.357Z,1742248338357,540,180,122,2
2025-03-17T21:52:21.819Z,1742248341819,2025-03-17T21:52:29.652Z,1742248349652,540,180,122,3
2025-03-17T21:52:34.451Z,1742248354451,2025-03-17T21:52:42.718Z,1742248362718,540,180,122,4
2025-03-17T21:52:56.184Z,1742248376184,2025-03-17T21:53:04.451Z,1742248384451,60,60,122,1
2025-03-17T21:53:09.250Z,1742248389250,2025-03-17T21:53:14.883Z,1742248394883,60,60,122,2
2025-03-17T21:53:17.957Z,1742248397957,2025-03-17T21:53:24.916Z,1742248404916,60,60,122,3
2025-03-17T21:53:28.384Z,1742248408384,2025-03-17T21:53:36.216Z,1742248416216,60,60,122,4
2025-03-17T21:53:44.051Z,1742248424051,2025-03-17T21:53:50.582Z,1742248430582,180,60,122,1
2025-03-17T21:53:54.051Z,1742248434051,2025-03-17T21:54:02.315Z,1742248442315,180,60,122,2
2025-03-17T21:54:04.916Z,1742248444916,2025-03-17T21:54:11.021Z,1742248451021,180,60,122,3
2025-03-17T21:54:15.782Z,1742248455782,2025-03-17T21:54:22.749Z,1742248462749,180,60,122,4
2025-03-17T21:54:31.448Z,1742248471448,2025-03-17T21:54:37.981Z,1742248477981,300,60,122,1
2025-03-17T21:54:42.353Z,1742248482353,2025-03-17T21:54:49.288Z,1742248489288,300,60,122,2
2025-03-17T21:54:51.914Z,1742248491914,2025-03-17T21:54:57.115Z,1742248497115,300,60,122,3
2025-03-17T21:55:03.647Z,1742248503647,2025-03-17T21:55:10.182Z,1742248510182,300,60,122,4
2025-03-17T21:55:18.018Z,1742248518018,2025-03-17T21:55:24.952Z,1742248524952,420,60,122,1
2025-03-17T21:55:28.448Z,1742248528448,2025-03-17T21:55:34.979Z,1742248534979,420,60,122,2
2025-03-17T21:55:38.881Z,1742248538881,2025-03-17T21:55:45.847Z,1742248545847,420,60,122,3
2025-03-17T21:55:49.748Z,1742248549748,2025-03-17T21:55:57.146Z,1742248557146,420,60,122,4
2025-03-17T21:56:06.285Z,1742248566285,2025-03-17T21:56:13.686Z,1742248573686,540,60,122,1
2025-03-17T21:56:16.712Z,1742248576712,2025-03-17T21:56:22.813Z,1742248582813,540,60,122,2
2025-03-17T21:56:25.846Z,1742248585846,2025-03-17T21:56:34.112Z,1742248594112,540,60,122,3
2025-03-17T21:56:38.479Z,1742248598479,2025-03-17T21:56:45.445Z,1742248605445,540,60,122,4
