Timestamp,Data
2025-04-16T22:33:01.597583,"+UUDF:6C1DEBA3FFAC,-76,-14,-6,0,18,""6C1DEBA09949"","""",2141128,9352"
2025-04-16T22:33:01.646372,"+UUDF:6C1DEBA3FFAC,-56,-23,-14,0,32,""6C1DEBA09949"","""",2141178,9353"
2025-04-16T22:33:01.701487,"+UUDF:6C1DEBA3FFAC,-67,-11,2,0,19,""6C1DEBA09949"","""",2141228,9354"
2025-04-16T22:33:01.747641,"+UUDF:6C1DEBA3FFAC,-64,-12,0,0,2,""6C1DEBA09949"","""",2141278,9355"
2025-04-16T22:33:01.796356,"+UUDF:6C1DEBA3FFAC,-58,-34,-10,0,28,""6C1DEBA09949"","""",2141328,9356"
2025-04-16T22:33:01.851471,"+UUDF:6C1DEBA3FFAC,-56,-22,-13,0,32,""6C1DEBA09949"","""",2141378,9357"
2025-04-16T22:33:01.897529,"+UUDF:6C1DEBA3FFAC,-64,-24,0,0,6,""6C1DEBA09949"","""",2141428,9358"
2025-04-16T22:33:01.946295,"+UUDF:6C1DEBA3FFAC,-71,-27,9,0,9,""6C1DEBA09949"","""",2141478,9359"
2025-04-16T22:33:02.001432,"+UUDF:6C1DEBA3FFAC,-55,-19,-13,0,33,""6C1DEBA09949"","""",2141528,9360"
2025-04-16T22:33:02.047529,"+UUDF:6C1DEBA3FFAC,-66,-11,0,0,19,""6C1DEBA09949"","""",2141578,9361"
2025-04-16T22:33:02.106411,"+UUDF:6C1DEBA3FFAC,-71,-19,-13,0,14,""6C1DEBA09949"","""",2141628,9362"
2025-04-16T22:33:02.150207,"+UUDF:6C1DEBA3FFAC,-67,-22,6,0,8,""6C1DEBA09949"","""",2141678,9363"
2025-04-16T22:33:02.196971,"+UUDF:6C1DEBA3FFAC,-59,-28,-16,0,26,""6C1DEBA09949"","""",2141728,9364"
2025-04-16T22:33:02.244983,"+UUDF:6C1DEBA3FFAC,-64,-11,0,0,2,""6C1DEBA09949"","""",2141778,9365"
2025-04-16T22:33:02.301394,"+UUDF:6C1DEBA3FFAC,-72,-21,-9,0,10,""6C1DEBA09949"","""",2141828,9366"
2025-04-16T22:33:02.347829,"+UUDF:6C1DEBA3FFAC,-70,-12,-10,0,13,""6C1DEBA09949"","""",2141878,9367"
2025-04-16T22:33:02.396335,"+UUDF:6C1DEBA3FFAC,-70,-13,-10,0,13,""6C1DEBA09949"","""",2141928,9368"
2025-04-16T22:33:02.451466,"+UUDF:6C1DEBA3FFAC,-64,-11,0,0,2,""6C1DEBA09949"","""",2141978,9369"
2025-04-16T22:33:02.497514,"+UUDF:6C1DEBA3FFAC,-63,-17,0,0,5,""6C1DEBA09949"","""",2142028,9370"
2025-04-16T22:33:02.546329,"+UUDF:6C1DEBA3FFAC,-64,-19,3,0,22,""6C1DEBA09949"","""",2142078,9371"
2025-04-16T22:33:02.601455,"+UUDF:6C1DEBA3FFAC,-84,-18,-14,0,17,""6C1DEBA09949"","""",2142128,9372"
2025-04-16T22:33:02.647575,"+UUDF:6C1DEBA3FFAC,-68,-13,-9,0,11,""6C1DEBA09949"","""",2142178,9373"
2025-04-16T22:33:02.696391,"+UUDF:6C1DEBA3FFAC,-59,-34,-10,0,28,""6C1DEBA09949"","""",2142228,9374"
