StartTimeISO,StartTimestamp,EndTimeISO,EndTimestamp,X,Y,Z
2025-04-21T22:25:54.960,1745274354960,,,90,540,140
2025-04-21T22:26:00.198,1745274360198,2025-04-21T22:26:07.227,1745274367227.0,90,225,140
2025-04-21T22:26:09.560,1745274369560,,,90,90,140
2025-04-21T22:26:12.460,1745274372460,,,315,90,140
2025-04-21T22:26:15.992,1745274375992,2025-04-21T22:26:20.660,1745274380660.0,315,315,140
2025-04-21T22:26:24.167,1745274384167,,,315,540,140
2025-04-21T22:26:27.660,1745274387660,,,540,540,140
2025-04-21T22:26:31.167,1745274391167,2025-04-21T22:26:37.026,1745274397026.0,540,315,140
2025-04-21T22:26:39.926,1745274399926,,,540,90,140
